date,open,close,High,Low
2018-05-23,'000001,10.65,10.82,10.62
2018-05-22,'000001,10.86,10.98,10.79
2018-05-21,'000001,10.95,11.11,10.93
2018-05-18,'000001,10.96,10.97,10.76
2018-05-17,'000001,10.82,10.94,10.78
2018-05-16,'000001,10.9,11.07,10.89
2018-05-15,'000001,11.12,11.19,11.02
2018-05-14,'000001,11.18,11.23,11.03
2018-05-11,'000001,11.01,11.13,10.96
2018-05-10,'000001,11.01,11.09,10.91
2018-05-09,'000001,10.97,11.03,10.88
2018-05-08,'000001,11.01,11.15,10.8
2018-05-07,'000001,10.81,10.83,10.64
2018-05-04,'000001,10.68,10.83,10.66
2018-05-03,'000001,10.75,10.88,10.57
2018-05-02,'000001,10.88,11.03,10.8
2018-04-27,'000001,10.85,11.51,10.63
2018-04-26,'000001,11.42,11.69,11.31
2018-04-25,'000001,11.68,11.81,11.63
2018-04-24,'000001,11.86,11.94,11.58
2018-04-23,'000001,11.57,11.61,11.26
2018-04-20,'000001,11.35,11.58,11.2
2018-04-19,'000001,11.47,11.69,11.42
2018-04-18,'000001,11.5,11.61,11.28
2018-04-17,'000001,11.21,11.45,11.11
2018-04-16,'000001,11.1,11.47,11.03
2018-04-13,'000001,11.57,11.79,11.45
2018-04-12,'000001,11.52,11.83,11.42
2018-04-11,'000001,11.83,11.92,11.38
2018-04-10,'000001,11.42,11.46,10.97
2018-04-09,'000001,11.02,11.1,10.73
2018-04-04,'000001,10.87,11.01,10.6
2018-04-03,'000001,10.56,10.67,10.51
2018-04-02,'000001,10.71,10.99,10.7
2018-03-30,'000001,10.9,11.05,10.88
2018-03-29,'000001,11.05,11.17,10.55
2018-03-28,'000001,10.89,11.14,10.79
2018-03-27,'000001,10.94,11.17,10.86
2018-03-26,'000001,10.93,11.2,10.86
2018-03-23,'000001,11.34,11.35,10.92
2018-03-22,'000001,11.66,11.97,11.62
2018-03-21,'000001,11.9,12.12,11.85
2018-03-20,'000001,11.82,11.88,11.72
2018-03-19,'000001,11.83,11.84,11.61
2018-03-16,'000001,11.64,11.85,11.64
2018-03-15,'000001,11.71,11.85,11.66
2018-03-14,'000001,11.92,12,11.83
2018-03-13,'000001,12.02,12.22,12
2018-03-12,'000001,12.03,12.17,11.95
2018-03-09,'000001,12.09,12.2,11.98
2018-03-08,'000001,12.11,12.15,11.95
2018-03-07,'000001,12.05,12.34,12.04
2018-03-06,'000001,12.1,12.11,11.77
2018-03-05,'000001,11.86,12.08,11.8
2018-03-02,'000001,11.95,12.04,11.85
2018-03-01,'000001,12.04,12.15,11.9
2018-02-28,'000001,12.05,12.19,11.93
2018-02-27,'000001,12.28,12.7,12.19
2018-02-26,'000001,12.63,12.85,12.45
2018-02-23,'000001,12.61,12.79,12.45
2018-02-22,'000001,12.46,12.53,12.25
2018-02-14,'000001,12,12.03,11.76
2018-02-13,'000001,11.94,12.21,11.84
2018-02-12,'000001,11.72,11.84,11.56
2018-02-09,'000001,11.69,12.08,11.38
2018-02-08,'000001,12.54,12.92,12.53
2018-02-07,'000001,12.92,14.3,12.76
2018-02-06,'000001,14,14.33,13.93
2018-02-05,'000001,14.55,14.57,13.73
2018-02-02,'000001,14.05,14.1,13.63
2018-02-01,'000001,14.03,14.3,13.84
2018-01-31,'000001,14.05,14.05,13.53
2018-01-30,'000001,13.65,13.84,13.55
2018-01-29,'000001,13.74,14.25,13.6
2018-01-26,'000001,14.05,14.34,14.02
2018-01-25,'000001,14.2,14.47,14
2018-01-24,'000001,14.64,15.08,14.5
2018-01-23,'000001,14.65,14.9,14.33
2018-01-22,'000001,14.44,14.94,14.43
2018-01-19,'000001,14.8,15.13,14.68
2018-01-18,'000001,14.72,14.72,14.28
2018-01-17,'000001,14.23,14.8,14.2
2018-01-16,'000001,14.2,14.38,14.02
2018-01-15,'000001,14.2,14.33,13.5
2018-01-12,'000001,13.55,13.68,13.41
2018-01-11,'000001,13.4,13.59,13.27
2018-01-10,'000001,13.47,13.49,12.92
2018-01-09,'000001,13.08,13.2,12.92
2018-01-08,'000001,12.96,13.29,12.86
2018-01-05,'000001,13.3,13.35,13.15
2018-01-04,'000001,13.25,13.37,13.13
2018-01-03,'000001,13.33,13.86,13.2
2018-01-02,'000001,13.7,13.93,13.32
